"","Analyte.diff","Analyte.lwr","Analyte.upr","Analyte.p.adj"
"NDEA-NDBA",-0.0729918000000005,-0.18572744846099,0.0397438484609888,0.495227231038444
"NDMA-NDBA",-0.0857530000000006,-0.19848864846099,0.0269826484609886,0.282301495272691
"NDPA-NDBA",-0.0663510000000005,-0.17908664846099,0.0463846484609888,0.618345534240984
"NMEA-NDBA",-0.0662144000000006,-0.17895004846099,0.0465212484609887,0.620859803134303
"NMOR-NDBA",0.0736870999999995,-0.0390485484609898,0.186422748460989,0.482489230143905
"NPIP-NDBA",0.0140832999999996,-0.0986523484609897,0.126818948460989,0.999941862787031
"NPYR-NDBA",0.0379304999999996,-0.0748051484609896,0.150666148460989,0.969151670986979
"NDMA-NDEA",-0.0127612000000001,-0.125496848460989,0.0999744484609891,0.999970263852574
"NDPA-NDEA",0.0066408,-0.106094848460989,0.119376448460989,0.999999671737359
"NMEA-NDEA",0.00677739999999993,-0.105958248460989,0.119513048460989,0.999999621838745
"NMOR-NDEA",0.1466789,0.0339432515390107,0.259414548460989,0.00237251041313924
"NPIP-NDEA",0.0870751000000001,-0.0256605484609892,0.199810748460989,0.26369769209756
"NPYR-NDEA",0.1109223,-0.00181334846098914,0.223657948460989,0.0573636526029767
"NDPA-NDMA",0.0194020000000001,-0.0933336484609891,0.132137648460989,0.999503467034199
"NMEA-NDMA",0.0195386000000001,-0.0931970484609892,0.132274248460989,0.999479987348061
"NMOR-NDMA",0.1594401,0.0467044515390108,0.272175748460989,0.000613306512327827
"NPIP-NDMA",0.0998363000000002,-0.0128993484609891,0.212571948460989,0.124688519149389
"NPYR-NDMA",0.1236835,0.010947851539011,0.23641914846099,0.0205815478475357
"NMEA-NDPA",0.000136599999999931,-0.112599048460989,0.112872248460989,1
"NMOR-NDPA",0.1400381,0.0273024515390107,0.252773748460989,0.00460079433115335
"NPIP-NDPA",0.0804343000000001,-0.0323013484609892,0.193169948460989,0.36452343410829
"NPYR-NDPA",0.1042815,-0.00845414846098914,0.217017148460989,0.0925652615724287
"NMOR-NMEA",0.1399015,0.0271658515390107,0.252637148460989,0.00466243577238268
"NPIP-NMEA",0.0802977000000001,-0.0324379484609891,0.193033348460989,0.366778377194833
"NPYR-NMEA",0.1041449,-0.00859074846098908,0.216880548460989,0.0934419907937489
"NPIP-NMOR",-0.0596037999999999,-0.172339448460989,0.0531318484609894,0.737547363772441
"NPYR-NMOR",-0.0357565999999998,-0.148492248460989,0.0769790484609895,0.97783044396567
"NPYR-NPIP",0.0238472000000001,-0.0888884484609892,0.136582848460989,0.998104661091569
